latitude,longitude,altitude,geometry,coordinates,@id,landuse,leisure,name,name:en,type,barrier,fence_type,int_name,name:de,name:pl,name:tr,tourism,wikidata,wikipedia,addr:city,addr:street,addr:housenumber,addr:postcode,opening_hours
,,,Polygon,"21.3929538,42.0039976,21.3929381,42.0039275,21.3928304,42.0039407,21.3927971,42.0037908,21.3927977,42.0037636,21.3928005,42.0037502,21.3928043,42.0037385,21.3928103,42.0037266,21.392818,42.0037154,21.3928275,42.0037061,21.3928388,42.0036968,21.3928519,42.0036888,21.3928681,42.0036836,21.3929015,42.0036771,21.3940994,42.0035207,21.3941233,42.0036134,21.393845,42.00365,21.3938512,42.0036761,21.3938988,42.0038714,21.3929538,42.0039976",way/408888206,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4312104,41.9968296,21.4310412,41.9967035,21.4311694,41.9966086,21.4313385,41.9967346,21.4312104,41.9968296",way/411092505,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4864792,41.9745902,21.4859358,41.9743064,21.4865031,41.9737177,21.4870464,41.9739938,21.4864792,41.9745902",way/414650719,,park,Парк Бановина,,,,,,,,,,,mk:Парк „Бановина“,,,,,
,,,Polygon,"21.4350637,42.000123,21.435083,42.000118,21.435099,42.0001085,21.4350614,42.0002732,21.4349151,42.0007265,21.4348777,42.0008473,21.4348135,42.0010494,21.4345567,42.0018063,21.4345096,42.0019004,21.4344463,42.0019034,21.4342686,42.0020468,21.4341789,42.002091,21.4340939,42.0021248,21.4337628,42.0021991,21.4335018,42.0022536,21.4333534,42.0022773,21.4332409,42.00229,21.4331817,42.002293,21.4331493,42.0022911,21.4331176,42.0022861,21.433091,42.0022786,21.4330631,42.002265,21.4330244,42.002245,21.4329782,42.0022175,21.4329125,42.0021732,21.4328342,42.0021144,21.4327489,42.0020442,21.4326059,42.0019199,21.4325664,42.0018778,21.4326108,42.0018674,21.4327665,42.0018031,21.4328943,42.0017434,21.4331075,42.0014715,21.4333925,42.001219,21.4336075,42.0010553,21.4337718,42.0009362,21.4338323,42.0008979,21.4338778,42.0008716,21.4339399,42.0008231,21.4340011,42.0007721,21.4341382,42.00066,21.4342603,42.0005503,21.434368,42.0004704,21.4344855,42.0003954,21.4346041,42.0003266,21.434723,42.0002594,21.4348196,42.0001995,21.4349492,42.0001436,21.4349971,42.0001304,21.4350432,42.0001227,21.4350637,42.000123",way/445837939,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4367293,42.0026103,21.436695,42.0030277,21.4362108,42.0030058,21.436245,42.0025883,21.4367293,42.0026103",way/474868812,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4348152,42.004058,21.4348824,42.0038323,21.4348992,42.003819,21.4349215,42.0038147,21.4349396,42.0038183,21.4349532,42.0038303,21.4349611,42.0038518,21.4349995,42.0040712,21.4349956,42.0040855,21.4349831,42.0040947,21.4349678,42.0040979,21.4349074,42.0040981,21.4348504,42.0040922,21.4348326,42.0040858,21.4348212,42.004075,21.4348152,42.004058",way/474870582,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.44884,41.9946205,21.4490681,41.994931,21.4483599,41.9952307,21.4475269,41.995493,21.4464874,41.9956535,21.4459785,41.9956732,21.4453975,41.9956589,21.444987,41.9956375,21.4436907,41.9953467,21.4426176,41.9950184,21.4426512,41.994972,21.443549,41.9952289,21.4439355,41.9953484,21.4443508,41.9954555,21.4450758,41.9955733,21.4457552,41.9955964,21.4461153,41.9955679,21.4465426,41.9955019,21.4472124,41.9953253,21.44884,41.9946205",way/476218866,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4685675,42.0033312,21.4689442,42.0034329,21.468826,42.0036744,21.4684494,42.0035727,21.4685675,42.0033312",way/476222634,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.464072,42.0077126,21.4639139,42.0072983,21.4640167,42.0070133,21.4643172,42.0068429,21.4651792,42.0069075,21.464072,42.0077126",way/476222977,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4451665,42.0147223,21.4459722,42.0146775,21.4464998,42.0158873,21.4450938,42.016032,21.4451796,42.0148354,21.4451665,42.0147223",way/476397816,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4328921,42.0170623,21.4330121,42.0162077,21.4338503,42.0162726,21.4337302,42.0171272,21.4328921,42.0170623",way/477891478,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4334299,42.0203572,21.4333511,42.0208933,21.4336154,42.0209147,21.4335,42.0217011,21.4327937,42.0216438,21.4328555,42.0212226,21.4327015,42.0212101,21.4328338,42.0203089,21.4334299,42.0203572",way/477891673,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4170489,42.0013843,21.4173648,42.0011282,21.4175696,42.0012678,21.4174617,42.0013553,21.4170489,42.0013843",way/480285181,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4266146,42.0036116,21.427096,42.0032117,21.4271448,42.0031046,21.4271293,42.0030054,21.427098,42.0029347,21.4266239,42.0024901,21.4281715,42.0015026,21.4282347,42.0014339,21.4281514,42.0013049,21.4284001,42.0011453,21.4286121,42.0011225,21.428784,42.0010691,21.4289515,42.0009483,21.4291536,42.0006065,21.4294197,42.0001512,21.4293962,42.0000074,21.4295179,42.000067,21.4296024,42.0001083,21.4287467,42.0016852,21.4284342,42.0023377,21.4283854,42.0025185,21.4283295,42.0026866,21.4282699,42.0028721,21.4282489,42.0033961,21.4282195,42.0038036,21.4282084,42.0044341,21.4282112,42.004637,21.428183,42.0049397,21.4279356,42.0049315,21.4276358,42.004632,21.4275203,42.0045125,21.4266146,42.0036116",way/487162446,,park,Парк на Франкофонијата,,,,,,,,,,,,,,,,
